Date,Price(USD),Exchange,MYR
13/12/2021,3.93,4.2124,16.554732
22/11/2021,3.92,4.1858,16.408336
1/11/2021,3.75,4.1522,15.57075
11/10/2021,3.57,4.1709,14.890113
20/09/2021,3.56,4.1919,14.923164
30/08/2021,5.41,4.1561,22.484501
9/8/2021,5.4,4.2285,22.8339
19/07/2021,5.29,4.2249,22.349721
28/06/2021,5.27,4.1458,21.848366
7/6/2021,5.32,4.1274,21.957768
17/05/2021,5.28,4.1315,21.81432
26/04/2021,5.24,4.1,21.484
5/4/2021,3.96,4.1423,16.403508
15/03/2021,4,4.1119,16.4476
22/02/2021,4.02,4.0421,16.249242
1/2/2021,4.02,4.0431,16.253262
11/1/2021,3.95,4.0471,15.986045
21/12/2020,3.66,4.0428,14.796648
13/12/2020,3.67,4.0524,14.872308
22/11/2020,3.65,4.092,14.9358
1/11/2020,3.57,4.1539,14.829423
11/10/2020,3.57,4.1393,14.777301
20/09/2020,3.54,4.1137,14.562498
30/08/2020,3.5,4.1663,14.58205
9/8/2020,3.45,4.1879,14.448255
19/07/2020,3.44,4.2629,14.664376
28/06/2020,3.39,4.2907,14.545473
7/6/2020,3.39,4.2676,14.467164
17/05/2020,3.24,4.3531,14.104044
26/04/2020,3.25,4.3598,14.16935
5/4/2020,3.24,4.3606,14.128344
15/03/2020,3.28,4.2838,14.050864
22/02/2020,3.08,4.096,12.61568
